iter	Logloss
0	0.6741438937
1	0.6589676438
2	0.6423111033
3	0.6277588046
4	0.6150515049
5	0.6010211813
6	0.5888297966
7	0.5774306856
8	0.5651417409
9	0.5545067021
10	0.5432362382
11	0.5356433762
12	0.527316326
13	0.5189609493
14	0.5120158621
15	0.5054513859
16	0.498902083
17	0.4931466296
18	0.4880607481
19	0.4824219924
20	0.4786540742
21	0.4740690558
22	0.4715803439
23	0.4677476978
24	0.4644529444
25	0.4612343177
26	0.458196577
27	0.4549868525
28	0.4532796304
29	0.4503183734
30	0.4477924109
31	0.4459689034
32	0.4441132421
33	0.4420027083
34	0.4400437903
35	0.4381849133
36	0.4363027906
37	0.4346214814
38	0.4329936699
39	0.4317972947
40	0.4299633964
41	0.4283107424
42	0.4272626515
43	0.4260928291
44	0.4248011756
45	0.4234301334
46	0.4223857291
47	0.4212307175
48	0.4199326012
49	0.4185456065
50	0.4175431911
51	0.4165768927
52	0.4154775889
53	0.4151324877
54	0.414223962
55	0.4131108743
56	0.412710869
57	0.4120160825
58	0.411479919
59	0.4110400429
60	0.4103604383
61	0.4097530219
62	0.4091401449
63	0.4084374842
64	0.4078887623
65	0.4077613556
66	0.4076560991
67	0.4070838181
68	0.4068877536
69	0.4063686199
70	0.4058859403
71	0.4052874934
72	0.4050793004
73	0.4048305788
74	0.4040440488
75	0.4037984481
76	0.4031403415
77	0.4028236271
78	0.402240388
79	0.4015325039
80	0.4011662937
81	0.400650559
82	0.399913113
83	0.3994542657
84	0.3990528851
85	0.3984997921
86	0.3982520163
87	0.3979567581
88	0.3977550103
89	0.3975439827
90	0.3971026605
91	0.3967954431
92	0.3965641467
93	0.3961447367
94	0.3958673366
95	0.3954103764
96	0.395244378
97	0.3949590911
98	0.3944787811
99	0.3941346994
100	0.393739775
101	0.3933306529
102	0.3930691477
103	0.3928640044
104	0.39253501
105	0.3924399097
106	0.3920861855
107	0.3918104571
108	0.3918098353
109	0.391367719
110	0.3912290347
111	0.3908415268
112	0.3907910417
113	0.3904476492
114	0.3903645089
115	0.3901137752
116	0.3898165574
117	0.3894767162
118	0.3893295458
119	0.3892873498
120	0.3890812513
121	0.3888609756
122	0.3886365596
123	0.3882519144
124	0.3882413502
125	0.3880682564
126	0.3878462816
127	0.3875872327
128	0.3873140556
129	0.3872373969
130	0.3872046927
131	0.3871555287
132	0.3869959255
133	0.3866953947
134	0.3865711099
135	0.3862064832
136	0.3861376471
137	0.3857528503
138	0.3857042289
139	0.3854828927
140	0.3852626656
141	0.3850706483
142	0.3849321115
143	0.3848653749
144	0.3845923008
145	0.3844549928
146	0.3842529353
147	0.3842529352
148	0.3838923693
149	0.3834309492
150	0.3832472685
151	0.3830856663
152	0.382883098
153	0.3825991925
154	0.3821538057
155	0.3821474813
156	0.3818875897
157	0.381418654
158	0.3813693224
159	0.3813691773
160	0.3812738138
161	0.3810268842
162	0.3809082375
163	0.3808821305
164	0.3806790314
165	0.3806349319
166	0.380353904
167	0.380174104
168	0.3801509978
169	0.3801297987
170	0.3799774764
171	0.3798574213
172	0.3797043699
173	0.3795001554
174	0.3793662184
175	0.3790942147
176	0.3789055682
177	0.378874505
178	0.3786634851
179	0.3785611693
180	0.3785520678
181	0.3785133059
182	0.3780535509
183	0.3780433646
184	0.3778647551
185	0.3777976538
186	0.3776419186
187	0.377619262
188	0.3775083844
189	0.3773513138
190	0.3771360357
191	0.3770767778
192	0.3769177739
193	0.3767728607
194	0.3765986082
195	0.3763500406
196	0.3761867852
197	0.3757581247
198	0.3756957466
199	0.3756713581
200	0.3754753026
201	0.3753521939
202	0.3751925391
203	0.3749994135
204	0.3749915659
205	0.3749116997
206	0.3747224197
207	0.3747101479
208	0.3746809029
209	0.3746116958
210	0.3745033972
211	0.3745033937
212	0.374397604
213	0.3742506864
214	0.3741546713
215	0.374122369
216	0.3740625725
217	0.3740557462
218	0.3740546726
219	0.3737890173
220	0.3735676249
221	0.3735426947
222	0.3734159894
223	0.373337155
224	0.3732172463
225	0.3731417301
226	0.3730330082
227	0.3728646891
228	0.3727462307
229	0.3724429669
230	0.3723189395
231	0.3722398848
232	0.3719793991
233	0.3718588226
234	0.3717823859
235	0.371610387
236	0.3714930866
237	0.3713282874
238	0.3713282328
239	0.37121958
240	0.3710890976
241	0.3707012591
242	0.3705557517
243	0.3705132756
244	0.3704335443
245	0.3703408334
246	0.3703407826
247	0.3702158247
248	0.3702158159
249	0.3700233656
250	0.3698517712
251	0.3698053461
252	0.3697233719
253	0.3695627639
254	0.3694791554
255	0.3693796906
256	0.3693796359
257	0.3692203699
258	0.3690525501
259	0.368896835
260	0.3686546194
261	0.3683494021
262	0.3681947317
263	0.368173879
264	0.3679619332
265	0.3678293125
266	0.3677624068
267	0.3675865884
268	0.3675327087
269	0.3673556345
270	0.3672983731
271	0.3672378273
272	0.3672377709
273	0.367165496
274	0.3670230847
275	0.3668788177
276	0.366728879
277	0.3664797938
278	0.3664628494
279	0.366298559
280	0.3661462101
281	0.3660478059
282	0.3660090776
283	0.3659937935
284	0.3658658669
285	0.3657126531
286	0.3656050092
287	0.3653054109
288	0.3651280849
289	0.3649454776
290	0.3647696449
291	0.3645541572
292	0.3643990826
293	0.3642363723
294	0.3640612743
295	0.3637686963
296	0.363651696
297	0.3633715982
298	0.3632895252
299	0.3632607661
