iter	Passed	Remaining
0	39	11922
1	74	11162
2	112	11103
3	147	10893
4	178	10548
5	212	10416
6	257	10790
7	300	10981
8	345	11184
9	376	10914
10	407	10715
11	439	10547
12	469	10368
13	500	10222
14	546	10390
15	605	10746
16	650	10836
17	681	10680
18	713	10548
19	746	10444
20	771	10250
21	801	10124
22	816	9835
23	848	9753
24	878	9659
25	907	9566
26	939	9502
27	978	9501
28	993	9287
29	1024	9224
30	1056	9166
31	1076	9014
32	1098	8884
33	1139	8911
34	1170	8859
35	1202	8815
36	1256	8933
37	1302	8980
38	1336	8941
39	1367	8887
40	1408	8899
41	1438	8834
42	1475	8821
43	1517	8829
44	1565	8871
45	1597	8820
46	1635	8806
47	1670	8770
48	1711	8765
49	1741	8706
50	1781	8696
51	1811	8637
52	1841	8581
53	1856	8455
54	1906	8490
55	1936	8438
56	1980	8442
57	2035	8493
58	2075	8479
59	2108	8432
60	2140	8388
61	2174	8346
62	2216	8339
63	2275	8389
64	2314	8368
65	2325	8246
66	2336	8126
67	2368	8079
68	2388	7995
69	2417	7942
70	2452	7909
71	2485	7869
72	2518	7831
73	2544	7772
74	2579	7738
75	2608	7689
76	2638	7642
77	2676	7617
78	2711	7586
79	2740	7537
80	2797	7563
81	2829	7521
82	2863	7486
83	2903	7465
84	2932	7417
85	2981	7420
86	3028	7414
87	3059	7371
88	3087	7320
89	3111	7259
90	3147	7228
91	3178	7186
92	3219	7165
93	3248	7119
94	3297	7115
95	3328	7073
96	3361	7035
97	3425	7061
98	3458	7021
99	3492	6985
100	3524	6944
101	3574	6938
102	3632	6947
103	3684	6944
104	3719	6907
105	3745	6854
106	3779	6817
107	3833	6814
108	3839	6727
109	3869	6682
110	3907	6652
111	3950	6630
112	3960	6553
113	3995	6518
114	4029	6481
115	4064	6446
116	4122	6448
117	4159	6415
118	4230	6434
119	4264	6397
120	4322	6394
121	4353	6352
122	4386	6312
123	4454	6322
124	4486	6281
125	4518	6240
126	4553	6203
127	4600	6182
128	4638	6148
129	4669	6106
130	4691	6053
131	4711	5996
132	4745	5958
133	4788	5931
134	4821	5892
135	4855	5854
136	4899	5829
137	4963	5826
138	5012	5805
139	5050	5772
140	5092	5742
141	5129	5707
142	5179	5686
143	5239	5676
144	5289	5653
145	5328	5620
146	5368	5587
147	5376	5521
148	5419	5492
149	5469	5469
150	5501	5428
151	5541	5395
152	5578	5359
153	5639	5346
154	5701	5333
155	5724	5283
156	5779	5263
157	5818	5229
158	5856	5193
159	5872	5138
160	5916	5108
161	5955	5073
162	5990	5034
163	6004	4979
164	6040	4942
165	6065	4896
166	6101	4858
167	6155	4836
168	6180	4790
169	6222	4758
170	6268	4728
171	6315	4700
172	6364	4671
173	6403	4636
174	6444	4602
175	6485	4569
176	6523	4533
177	6561	4497
178	6608	4467
179	6655	4436
180	6673	4387
181	6692	4339
182	6733	4304
183	6761	4262
184	6800	4227
185	6818	4179
186	6856	4143
187	6896	4108
188	6933	4072
189	6972	4036
190	7010	4000
191	7049	3965
192	7103	3938
193	7145	3904
194	7188	3870
195	7232	3837
196	7269	3800
197	7311	3766
198	7349	3730
199	7374	3687
200	7421	3655
201	7473	3625
202	7521	3593
203	7560	3558
204	7579	3512
205	7618	3476
206	7656	3439
207	7676	3395
208	7714	3358
209	7750	3321
210	7788	3285
211	7795	3235
212	7834	3199
213	7889	3170
214	7939	3138
215	7958	3094
216	8006	3062
217	8025	3018
218	8037	2972
219	8077	2937
220	8120	2902
221	8154	2865
222	8209	2834
223	8256	2801
224	8292	2764
225	8318	2723
226	8366	2690
227	8433	2663
228	8476	2628
229	8529	2595
230	8579	2562
231	8618	2526
232	8666	2492
233	8718	2458
234	8778	2428
235	8832	2395
236	8885	2361
237	8929	2326
238	8938	2281
239	8975	2243
240	9016	2207
241	9057	2170
242	9097	2134
243	9111	2091
244	9155	2055
245	9195	2018
246	9202	1974
247	9254	1940
248	9260	1896
249	9305	1861
250	9352	1825
251	9389	1788
252	9442	1754
253	9481	1717
254	9518	1679
255	9564	1643
256	9572	1601
257	9612	1564
258	9663	1529
259	9704	1493
260	9752	1457
261	9791	1420
262	9832	1383
263	9865	1345
264	9903	1308
265	9942	1270
266	9981	1233
267	10021	1196
268	10071	1160
269	10109	1123
270	10145	1085
271	10202	1050
272	10214	1010
273	10268	974
274	10323	938
275	10371	901
276	10411	864
277	10449	826
278	10486	789
279	10523	751
280	10570	714
281	10612	677
282	10659	640
283	10699	602
284	10738	565
285	10787	528
286	10826	490
287	10868	452
288	10909	415
289	10948	377
290	10987	339
291	11029	302
292	11069	264
293	11118	226
294	11156	189
295	11196	151
296	11248	113
297	11288	75
298	11328	37
299	11368	0
